TSC_TSTAMP_UTC	TSC_VALUE_F
1973-10-02 00:30:00	1296.41
1973-10-02 01:30:00	1296.41
1973-10-02 02:30:00	1296.41
1973-10-02 03:30:00	1296.41
1973-10-02 04:30:00	1296.41
1973-10-02 05:30:00	1295.9775000000002
1973-10-02 06:30:00	1294.68
1973-10-02 07:30:00	1294.68
1973-10-02 08:30:00	1294.68
1973-10-02 09:30:00	1294.68
1973-10-02 10:30:00	1294.68
1973-10-02 11:30:00	1291.27
1973-10-02 12:30:00	1291.27
1973-10-02 13:30:00	1291.27
1973-10-02 14:30:00	1291.27
1973-10-02 15:30:00	1291.27
1973-10-02 16:30:00	1287.83
1973-10-02 17:30:00	1287.83
1973-10-02 18:30:00	1287.83
1973-10-02 19:30:00	1287.83
1973-10-02 20:30:00	1287.83
1973-10-02 21:30:00	1287.83
1973-10-02 22:30:00	1287.3999999999999
1973-10-02 23:30:00	1286.11
1973-10-03 00:30:00	1286.11
1973-10-03 01:30:00	1286.11
1973-10-03 02:30:00	1285.2575
1973-10-03 03:30:00	1282.7
1973-10-03 04:30:00	1282.7
1973-10-03 05:30:00	1282.7
1973-10-03 06:30:00	1282.7
1973-10-03 07:30:00	1282.7
1973-10-03 08:30:00	1282.7
1973-10-03 09:30:00	1282.7
1973-10-03 10:30:00	1277.57
1973-10-03 11:30:00	1277.57
1973-10-03 12:30:00	1277.57
1973-10-03 13:30:00	1277.57
1973-10-03 14:30:00	1277.57
1973-10-03 15:30:00	1277.57
1973-10-03 16:30:00	1277.57
1973-10-03 17:30:00	1277.57
1973-10-03 18:30:00	1277.57
1973-10-03 19:30:00	1277.57
1973-10-03 20:30:00	1277.57
1973-10-03 21:30:00	1277.57
1973-10-03 22:30:00	1277.57
1973-10-03 23:30:00	1277.57
1973-10-04 00:30:00	1277.57
1973-10-04 01:30:00	1277.57
1973-10-04 02:30:00	1277.57
1973-10-04 03:30:00	1277.57
1973-10-04 04:30:00	1275.0275000000001
1973-10-04 05:30:00	1274.18
1973-10-04 06:30:00	1274.18
1973-10-04 07:30:00	1274.18
1973-10-04 08:30:00	1274.18
